,formatted_readme,summary,prompt_text,generated_summary
152,// TODO: Make into an assert once I get things like blockbodynodes to be implicit nil,TEST,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: Make into an assert once I get things like blockbodynodes to be implicit nil

### Response:",TEST.
153,// not needed,IMPLEMENTATION,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// not needed

### Response:",IMPLEMENTATION.
154,//TODO: BUG! this currently fails for named queries for non-POJO entities,DEFECT,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
//TODO: BUG! this currently fails for named queries for non-POJO entities

### Response:",DEFECT.
155,// TODO: this isn't handling multibyte yet,IMPLEMENTATION,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: this isn't handling multibyte yet

### Response:",IMPLEMENTATION.
156,// TODO should this implement supportsCustomEditor() ?,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO should this implement supportsCustomEditor() ?

### Response:",DESIGN.
157,// TODO: this doesn't belong in the implementation specific piece - tfm,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: this doesn't belong in the implementation specific piece - tfm

### Response:",DESIGN.
158,"// ignore it; the incoming property could not be found so we // cannot be sure what to do here. At the very least, the // safest is to simply not apply any dereference toggling...",DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// ignore it; the incoming property could not be found so we // cannot be sure what to do here. At the very least, the // safest is to simply not apply any dereference toggling...

### Response:",DESIGN.
159,/** * Returns names of all metatypes in metamodel. * * TODO: This method rightly belongs in a separate interface dealing * with instances of MOF types as opposed to UML types like all the * rest of the methods here do. * * Collection containing Strings with names of all metatypes */,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
/** * Returns names of all metatypes in metamodel. * * TODO: This method rightly belongs in a separate interface dealing * with instances of MOF types as opposed to UML types like all the * rest of the methods here do. * * Collection containing Strings with names of all metatypes */

### Response:",DESIGN.
160,// TODO: Needs to be tidied up after stable release. Graph model // should be created in constructor,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: Needs to be tidied up after stable release. Graph model // should be created in constructor

### Response:",DESIGN. IMPLEMENTATION. DEFECT.
161,"// Create our bandbuffer which is just a small slice of the image // TODO: We used a fixed height buffer now, but we could be smarter and // compute a height which would fit in some memory budget, allowing us // to use taller buffers with narrower images, minimizing the overhead // of multiple rendering passes",DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// Create our bandbuffer which is just a small slice of the image // TODO: We used a fixed height buffer now, but we could be smarter and // compute a height which would fit in some memory budget, allowing us // to use taller buffers with narrower images, minimizing the overhead // of multiple rendering passes

### Response:",DESIGN.
162,"// TODO do tests for infix operators (8.4.7), // even though it is not yet supported",TEST,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO do tests for infix operators (8.4.7), // even though it is not yet supported

### Response:",TEST.
163,/* SSS FIXME: Do we need to check if l is same as whatever popped? */,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
/* SSS FIXME: Do we need to check if l is same as whatever popped? */

### Response:",IMPLEMENTATION.
164,// hack... sticking to first interpreter that resolves this // see comments on type instance variable,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// hack... sticking to first interpreter that resolves this // see comments on type instance variable

### Response:",DESIGN.
165,// FIXME: what should this really be? assert x instanceof RubyComplex;,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// FIXME: what should this really be? assert x instanceof RubyComplex;

### Response:",DESIGN.
166,//TODO: not quite sure about the full implications of this!,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
//TODO: not quite sure about the full implications of this!

### Response:",DESIGN.
167,"// FIXME: if we terminate immediately, this appears to break while in method arguments // we need to push a nil for the cases where we will never enter the body",DEFECT,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// FIXME: if we terminate immediately, this appears to break while in method arguments // we need to push a nil for the cases where we will never enter the body

### Response:",DEFECT.
168,// here we tweak the notify flag on the plot so that only // one notification happens even though we update multiple // axes...,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// here we tweak the notify flag on the plot so that only // one notification happens even though we update multiple // axes...

### Response:",DESIGN.
169,"/** * Return the source of a relation or Link. The source of a relation is * defined as the ModelElement that propagates this relation. If * there are more then 1 sources, only the first is returned. If * there is no source, null is returned. Examples of sources * include classifiers that are types to associationends, usecases * that are bases to extend and include relations and so on. A * source is always the start from the arrow in the fig, the * destination the end.<p> * * TODO: move this method to a generic ModelHelper * * relationship is the relation * Object */",DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
/** * Return the source of a relation or Link. The source of a relation is * defined as the ModelElement that propagates this relation. If * there are more then 1 sources, only the first is returned. If * there is no source, null is returned. Examples of sources * include classifiers that are types to associationends, usecases * that are bases to extend and include relations and so on. A * source is always the start from the arrow in the fig, the * destination the end.<p> * * TODO: move this method to a generic ModelHelper * * relationship is the relation * Object */

### Response:",DESIGN. Move to ModelHelper.
170,"//TODO: inexact, what we really need to know is: are any outer joins used?",DEFECT,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
//TODO: inexact, what we really need to know is: are any outer joins used?

### Response:",DESIGN.
171,// TODO: should not be using assert here but I don't want to change to // IllegalStateException at lead up to a release as I don't know how // much testing is done with assert on.,TEST,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: should not be using assert here but I don't want to change to // IllegalStateException at lead up to a release as I don't know how // much testing is done with assert on.

### Response:",TEST.
172,// TODO: key can't be null,DEFECT,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: key can't be null

### Response:",DEFECT.
173,"//??? For now, use the same renderer as everyone else. //?? //?? IN FUTURE: change this to use a new instance of renederer //?? for this data type.",DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
//??? For now, use the same renderer as everyone else. //?? //?? IN FUTURE: change this to use a new instance of renederer //?? for this data type.

### Response:",DESIGN.
174,"// doesn't work: Depending on the compression engine used, // compressed bytes may differ. False errors would be // reported. // assertTrue(""File content mismatch"", // FILE_UTILS.contentEquals(project.resolveFile(""expected/asf-logo-huge.tar.bz2""), // project.resolveFile(""asf-logo-huge.tar.bz2"")));",TEST,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// doesn't work: Depending on the compression engine used, // compressed bytes may differ. False errors would be // reported. // assertTrue(""File content mismatch"", // FILE_UTILS.contentEquals(project.resolveFile(""expected/asf-logo-huge.tar.bz2""), // project.resolveFile(""asf-logo-huge.tar.bz2"")));

### Response:",DEFECT.
175,"/* * TODO: MVW: This needs rethinking/rework! I have the following questions: * Why does it not search for a stereotype in the namespace using properties * and only create a new stereotype if it will actually be used? Ie, why is * there not a getStereotype(String name, String baseClass)? (edited by * d00mst) <these comments imported from NSUML implementation - tfm> * * org.argouml.model.ExtensionMechanismsFactory buildStereotype(java.lang.Object, java.lang.Object, java.lang.Object) */",DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
/* * TODO: MVW: This needs rethinking/rework! I have the following questions: * Why does it not search for a stereotype in the namespace using properties * and only create a new stereotype if it will actually be used? Ie, why is * there not a getStereotype(String name, String baseClass)? (edited by * d00mst) <these comments imported from NSUML implementation - tfm> * * org.argouml.model.ExtensionMechanismsFactory buildStereotype(java.lang.Object, java.lang.Object, java.lang.Object) */

### Response:",DESIGN.
176,// TODO support other name kinds,IMPLEMENTATION,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO support other name kinds

### Response:",IMPLEMENTATION.
177,"// TODO: A minimal update strategy would be better here to // minimize work and events firing, but it may be better to // deprecate the method and force calls to manage updates // themselves (since they probably usually want to just add // or remove a single element) - tfm 20061108",DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: A minimal update strategy would be better here to // minimize work and events firing, but it may be better to // deprecate the method and force calls to manage updates // themselves (since they probably usually want to just add // or remove a single element) - tfm 20061108

### Response:",DESIGN.
178,// I don't know if this should be run this deferred // because we might have to give the editor a chance to process the viewer update events // and hence to update the views first. // //,IMPLEMENTATION,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// I don't know if this should be run this deferred // because we might have to give the editor a chance to process the viewer update events // and hence to update the views first. // //

### Response:",DESIGN.
179,/** * Builds a default implementation for a class. The class is not owned by * any model element by default. Users should not forget to add ownership. * * newly created Class * TODO: This needs an extra parameter to specify the model/extent where * the new element should be created. */,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
/** * Builds a default implementation for a class. The class is not owned by * any model element by default. Users should not forget to add ownership. * * newly created Class * TODO: This needs an extra parameter to specify the model/extent where * the new element should be created. */

### Response:",DESIGN. Improve this to have a single parameter that is the model/extent where * the new element should be created.
180,// TODO: More is required here to support referenceValues,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: More is required here to support referenceValues

### Response:",IMPLEMENTATION.
181,// FIXME: use other fields too,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// FIXME: use other fields too

### Response:",DESIGN.
182,// unused in parent,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// unused in parent

### Response:",DESIGN.
183,// Programming error: bail out.,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// Programming error: bail out.

### Response:",DESIGN. Defensive programming.
184,"// this is ugly here, but needed because its a subquery",DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// this is ugly here, but needed because its a subquery

### Response:",DESIGN.
185,// TODO: Rather than specifically ignore some item maybe it would be better // to specifically state what items are of interest. Otherwise we may still // be acting on other events we don't need,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: Rather than specifically ignore some item maybe it would be better // to specifically state what items are of interest. Otherwise we may still // be acting on other events we don't need

### Response:",DESIGN.
186,// TODO finish unmarshalling of all available properties,IMPLEMENTATION,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO finish unmarshalling of all available properties

### Response:",IMPLEMENTATION.
187,// TODO: don't require pop,DEFECT,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: don't require pop

### Response:",DEFECT.
188,// TODO: We have multiple string representations for multiplicities // these should be consolidated. This form is used by // org.argouml.uml.reveng,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: We have multiple string representations for multiplicities // these should be consolidated. This form is used by // org.argouml.uml.reveng

### Response:",DESIGN.
189,// TODO: don't require pop,DEFECT,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: don't require pop

### Response:",DEFECT.
190,/** * Builds an actor in the same namespace as the given actor. If * the object is not and actor nothing is built.<p> * * TODO: This shouldn't just silently fail if it is passed a bad * argument. This contract will change. - tfm 20070607 * * model The namespace. * actor the given actor * Actor the newly built actor */,IMPLEMENTATION,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
/** * Builds an actor in the same namespace as the given actor. If * the object is not and actor nothing is built.<p> * * TODO: This shouldn't just silently fail if it is passed a bad * argument. This contract will change. - tfm 20070607 * * model The namespace. * actor the given actor * Actor the newly built actor */

### Response:",DESIGN.
191,"/* * TODO ( karlpeder): Guess that right thing to do is to get height as getDrawingSize().getHeight(), * since this should take top- and bottom margin of this print * object into account. But the height seems not to be set * correctly in computePositionAndSize() (*20030604, karlpeder*) */",DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
/* * TODO ( karlpeder): Guess that right thing to do is to get height as getDrawingSize().getHeight(), * since this should take top- and bottom margin of this print * object into account. But the height seems not to be set * correctly in computePositionAndSize() (*20030604, karlpeder*) */

### Response:",DEFECT.
192,//hum ... should we cascade anyway? throw an exception? fine like it is?,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
//hum ... should we cascade anyway? throw an exception? fine like it is?

### Response:",DESIGN.
193,"// Cast to int required as Dimension::setSize(double,double) // doesn't appear to do anything in JDK1.2.2.",DEFECT,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// Cast to int required as Dimension::setSize(double,double) // doesn't appear to do anything in JDK1.2.2.

### Response:",DEFECT.
194,// defer argument checking...,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// defer argument checking...

### Response:",DESIGN.
195,//TODO: theoretically non-threadsafe...,IMPLEMENTATION,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
//TODO: theoretically non-threadsafe...

### Response:",DESIGN.
196,// not needed,IMPLEMENTATION,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// not needed

### Response:",IMPLEMENTATION.
197,// TODO: full-precision divmod is 1000x slower than MRI!,DEFECT,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: full-precision divmod is 1000x slower than MRI!

### Response:",DEFECT.
198,/* TODO: We should have all the information that is required in the * NotationSettings object */,DEFECT,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
/* TODO: We should have all the information that is required in the * NotationSettings object */

### Response:",DESIGN. IMPLEMENTATION.
199,"// handle mouse events for double-click creation of popup dialog. // This happens only in the JTextField, not the JTextArea, so we can // make this an inner class within this method rather than a separate // inner class as is done with the KeyTextHandler class. //",DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// handle mouse events for double-click creation of popup dialog. // This happens only in the JTextField, not the JTextArea, so we can // make this an inner class within this method rather than a separate // inner class as is done with the KeyTextHandler class. //

### Response:",DESIGN.
200,//DMS should we let this exception out?,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
//DMS should we let this exception out?

### Response:",DESIGN.
201,// SSS FIXME: Should this be Operand or CompoundString? // Can it happen that symbols are built out of other than compound strings? // Or can it happen during optimizations that this becomes a generic operand?,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// SSS FIXME: Should this be Operand or CompoundString? // Can it happen that symbols are built out of other than compound strings? // Or can it happen during optimizations that this becomes a generic operand?

### Response:",DESIGN.
202,// regular division with some default precision // TODO: proper algorithm to set the precision,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// regular division with some default precision // TODO: proper algorithm to set the precision

### Response:",DESIGN. IMPLEMENTATION.
203,// TODO: This method is mostly (entirely?) redundant - tfm,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: This method is mostly (entirely?) redundant - tfm

### Response:",DESIGN. Redundant method.
204,"// FIXME: Maybe not best place, but move it to a good home",DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// FIXME: Maybe not best place, but move it to a good home

### Response:",DESIGN.
205,"// TODO: This comparison is very suspect, it should use equals // method. The code within the block is in fact never executed. // I hesitate to change this now as it will trigger code has never been // used before and am not aware of any problems that it usage may // introduce. // I do think that we need to be able to find a different way to // implement the intent here which seems to be to correct edge drawings // that should actually not be allowed - Bob",IMPLEMENTATION,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: This comparison is very suspect, it should use equals // method. The code within the block is in fact never executed. // I hesitate to change this now as it will trigger code has never been // used before and am not aware of any problems that it usage may // introduce. // I do think that we need to be able to find a different way to // implement the intent here which seems to be to correct edge drawings // that should actually not be allowed - Bob

### Response:",DESIGN.
206,"// TODO field always true, what for ?",DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO field always true, what for ?

### Response:",DESIGN.
207,// should probably error,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// should probably error

### Response:",DESIGN.
208,//this is the temporary solution for issue 1011,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
//this is the temporary solution for issue 1011

### Response:",DESIGN.
209,"/* * Algorithm * Check for any level one nullability breaks * Look at non null components to * recursively check next level of nullability breaks * Look at Collections contraining component to * recursively check next level of nullability breaks * * * In the previous implementation, not-null stuffs where checked * filtering by level one only updateable * or insertable columns. So setting a sub component as update=""false"" * has no effect on not-null check if the main component had good checkeability * In this implementation, we keep this feature. * However, I never see any documentation mentioning that, but it's for * sure a limitation. */",DEFECT,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
/* * Algorithm * Check for any level one nullability breaks * Look at non null components to * recursively check next level of nullability breaks * Look at Collections contraining component to * recursively check next level of nullability breaks * * * In the previous implementation, not-null stuffs where checked * filtering by level one only updateable * or insertable columns. So setting a sub component as update=""false"" * has no effect on not-null check if the main component had good checkeability * In this implementation, we keep this feature. * However, I never see any documentation mentioning that, but it's for * sure a limitation. */

### Response:",DOCUMENTATION.
210,//?? Extract this out into a class like CascadeInternalFramePositioner.,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
//?? Extract this out into a class like CascadeInternalFramePositioner.

### Response:",DESIGN.
211,"/* * Does the system support UNC paths? If so, may need to fix them up * later */",DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
/* * Does the system support UNC paths? If so, may need to fix them up * later */

### Response:",DESIGN. IMPLEMENTATION. DEFECT.
212,// we could move this inside if we wanted to // tolerate collection initializations during // collection dirty checking:,IMPLEMENTATION,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// we could move this inside if we wanted to // tolerate collection initializations during // collection dirty checking:

### Response:",DESIGN.
213,"/** * TODO: this is a bug in the code at the moment. If table ""test"" isn't qualified then this test passes - * so we need to beef up qualified tablename handling. */",DEFECT,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
/** * TODO: this is a bug in the code at the moment. If table ""test"" isn't qualified then this test passes - * so we need to beef up qualified tablename handling. */

### Response:",TEST.
214,//This is not very nice (and quite slow):,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
//This is not very nice (and quite slow):

### Response:",DESIGN.
215,// TODO: don't require pop,DEFECT,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: don't require pop

### Response:",DEFECT.
216,// defer argument checking,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// defer argument checking

### Response:",DESIGN.
217,"// FIXME: Not sure what the semantics of transfer are //cFiber.defineFastMethod(""transfer"", cb.getFastOptMethod(""transfer""));",DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// FIXME: Not sure what the semantics of transfer are //cFiber.defineFastMethod(""transfer"", cb.getFastOptMethod(""transfer""));

### Response:",DESIGN.
218,// TODO: anything threads attached to original fd are notified of the close... // see rb_thread_fd_close,DEFECT,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: anything threads attached to original fd are notified of the close... // see rb_thread_fd_close

### Response:",DEFECT.
219,// TODO: All super constrcutors should take a GraphModel,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: All super constrcutors should take a GraphModel

### Response:",DESIGN.
220,//FIXME: get the PersistentClass,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
//FIXME: get the PersistentClass

### Response:",DESIGN.
221,"/* TODO: If this is an ordered list, then you have to add in the right location! */",DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
/* TODO: If this is an ordered list, then you have to add in the right location! */

### Response:",DEFECT.
222,"// VERY IMPORTANT!!!! - This class needs to be free of any static references // to any CGLIB or Javassist classes. Otherwise, users will always need both // on their classpaths no matter which (if either) they use. // // Another option here would be to remove the Hibernate.isPropertyInitialized() // method and have the users go through the SessionFactory to get this information.",DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// VERY IMPORTANT!!!! - This class needs to be free of any static references // to any CGLIB or Javassist classes. Otherwise, users will always need both // on their classpaths no matter which (if either) they use. // // Another option here would be to remove the Hibernate.isPropertyInitialized() // method and have the users go through the SessionFactory to get this information.

### Response:",DESIGN.
223,"// TODO: ActionState, CallState, and SubactivityState have been replaced // in UML 2.0 by explicitly modeled Actions",DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: ActionState, CallState, and SubactivityState have been replaced // in UML 2.0 by explicitly modeled Actions

### Response:",DESIGN. IMPLEMENTATION. DEFECT.
224,"/** * Add a path to the list of paths to be searched when looking for XMI files * to resolve external references with. The list is maintained in a static * structure shared by all instances. * <p> * TODO: It's desirable to have separate search paths for separate files, * but more work is required in ArgoUML so that it knows how to maintain * separate contexts for the profiles and user models. * * path * a directory path to add to the search path */",DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
/** * Add a path to the list of paths to be searched when looking for XMI files * to resolve external references with. The list is maintained in a static * structure shared by all instances. * <p> * TODO: It's desirable to have separate search paths for separate files, * but more work is required in ArgoUML so that it knows how to maintain * separate contexts for the profiles and user models. * * path * a directory path to add to the search path */

### Response:",IMPLEMENTATION.
225,"//Don't need this, because we should never ever be selecting no columns in an insert ... select... //and because it causes a bug on DB2",DEFECT,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
//Don't need this, because we should never ever be selecting no columns in an insert ... select... //and because it causes a bug on DB2

### Response:",DEFECT.
226,"// FIXME: We should really not be creating the dynamic scope for the root // of the AST before parsing. This makes us end up needing to readjust // this dynamic scope coming out of parse (and for local static scopes it // will always happen because of $~ and $_). // FIXME: Because we end up adjusting this after-the-fact, we can't use // any of the specific-size scopes.",DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// FIXME: We should really not be creating the dynamic scope for the root // of the AST before parsing. This makes us end up needing to readjust // this dynamic scope coming out of parse (and for local static scopes it // will always happen because of $~ and $_). // FIXME: Because we end up adjusting this after-the-fact, we can't use // any of the specific-size scopes.

### Response:",DEFECT.
227,// Kludge required by GEF's use of HashMap in the API // TODO: This can be removed if they ever fix GEF to use // Maps,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// Kludge required by GEF's use of HashMap in the API // TODO: This can be removed if they ever fix GEF to use // Maps

### Response:",DESIGN.
228,// TODO: use the destination database type to derive a // format that is acceptable.,IMPLEMENTATION,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: use the destination database type to derive a // format that is acceptable.

### Response:",DESIGN. IMPLEMENTATION.
229,// TODO: I18N required,IMPLEMENTATION,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: I18N required

### Response:",IMPLEMENTATION.
