,formatted_readme,summary,prompt_text,generated_summary
788,// This may return null:,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// This may return null:

### Response:",NO.
789,// Procedures,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Procedures

### Response:",NO.
790,// error messages,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// error messages

### Response:",NO.
791,// CheckStyle:VisibilityModifier OFF - bc,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// CheckStyle:VisibilityModifier OFF - bc

### Response:",NO.
792,//{{{ Constants,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//{{{ Constants

### Response:",NO.
793,// open configuration file ,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// open configuration file

### Response:",NO.
794,//{{{ getBottomDockingArea() method,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//{{{ getBottomDockingArea() method

### Response:",NO.
795,// Subclasses may override,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Subclasses may override

### Response:",NO.
796,// Clean it up. //,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Clean it up. //

### Response:",NO. // Remove the object from the owner list. //
797,// special handling of operations while editing this data type,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// special handling of operations while editing this data type

### Response:",NO. Tests show that this is not called.
798,// TODO: Considering all delete events to be valid like below // is going to cause lots of unecessary work and some problems,YES.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// TODO: Considering all delete events to be valid like below // is going to cause lots of unecessary work and some problems

### Response:",YES.equals(deleteEvent.getAction())
799,// clear status bar message now we are done (with a delay),NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// clear status bar message now we are done (with a delay)

### Response:",NO. The status bar message will be cleared when the delay expires.
800,/* * GUISettingsTabInterface getTabKey() */,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
/* * GUISettingsTabInterface getTabKey() */

### Response:",NO.
801,//To change body of implemented methods use File | Settings | File Templates.,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//To change body of implemented methods use File | Settings | File Templates.

### Response:",NO. Do not do this.
802,// Mono 1.0's wsdl doesn't deal with absolute paths,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Mono 1.0's wsdl doesn't deal with absolute paths

### Response:",NO. Mono 1.1's wsdl doesn't deal with absolute paths either.
803,// don't care...,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// don't care...

### Response:",NO.
804,/* * java.awt.event.WindowListener windowDeactivated(java.awt.event.WindowEvent) */,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
/* * java.awt.event.WindowListener windowDeactivated(java.awt.event.WindowEvent) */

### Response:",NO.
805,// for result,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// for result

### Response:",NO.
806,//}}},NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//}}}

### Response:",NO. //}}}
807,/* Listen to the modelelement itself: */,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
/* Listen to the modelelement itself: */

### Response:",NO. ModelElement has no listeners.
808,//}}},NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//}}}

### Response:",NO. //}}}
809,// If there is still a parent -> remove it,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// If there is still a parent -> remove it

### Response:",NO. Removing a parent is not a change event
810,/* * junit.framework.TestCase setUp() */,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
/* * junit.framework.TestCase setUp() */

### Response:",NO. TestCase.setUp should not be overridden.
811,// removeJava2IANAMapping,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// removeJava2IANAMapping

### Response:",NO.
812,"// we would end up adding """" to the archive",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// we would end up adding """" to the archive

### Response:",NO.
813,// This should only be called by 1.8 (1.9 subclasses this to handle unusedBlock).,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// This should only be called by 1.8 (1.9 subclasses this to handle unusedBlock).

### Response:",NO. The 1.9 version of this method is not called from Ruby 1.8.
814,//$NON-NLS-1$,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//$NON-NLS-1$

### Response:",NO. The property is not a collection...
815,"// EventListenerList.remove() is synchronized, so we don't need to // synchronize ourselves",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// EventListenerList.remove() is synchronized, so we don't need to // synchronize ourselves

### Response:",NO. The synchronization is handled by the EventListenerList.add() and // EventListenerList.remove() methods.
816,// matching authorities and no device or path removal,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// matching authorities and no device or path removal

### Response:",NO.AUTH.REMOVE_PATH_BRANCH
817,// v += g*v ~ 1/2/sqrt(),NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// v += g*v ~ 1/2/sqrt()

### Response:",NO.
818,// based on e291. Getting the Name of a JDBC Type from javaalmanac.com // ,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// based on e291. Getting the Name of a JDBC Type from javaalmanac.com //

### Response:",NO. The name of the JDBC type is not available.
819,// from DUP_SETUP,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// from DUP_SETUP

### Response:","NO. The code is correct, but the test is wrong."
820,//EcoreSwitch,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//EcoreSwitch

### Response:",NO. EcoreSwitch is not a switch.
821,// ensure tzid matches date-time timezone.. // Parameter tzId = // dtStamp1.getParameters().getParameter( // Parameter.TZID);,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// ensure tzid matches date-time timezone.. // Parameter tzId = // dtStamp1.getParameters().getParameter( // Parameter.TZID);

### Response:",NO.equals(dtStamp1.getParameters().getParameter(Parameter.TZID));
822,// make the background of the buffer clear and transparent,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// make the background of the buffer clear and transparent

### Response:",NO.
823,"// both many-to-one and one-to-one are represented as a // Property. EntityPersister is relying on this value to // determine ""lazy fetch groups"" in terms of field-level // interception. So we need to make sure that we return // true here for the case of many-to-one and one-to-one // with lazy=""no-proxy"" // // * impl note - lazy=""no-proxy"" currently forces both // lazy and unwrap to be set to true. The other case we // are extremely interested in here is that of lazy=""proxy"" // where lazy is set to true, but unwrap is set to false. // thus we use both here under the assumption that this // return is really only ever used during persister // construction to determine the lazy property/field fetch // groupings. If that assertion changes then this check // needs to change as well. Partially, this is an issue with // the overloading of the term ""lazy"" here...",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// both many-to-one and one-to-one are represented as a // Property. EntityPersister is relying on this value to // determine ""lazy fetch groups"" in terms of field-level // interception. So we need to make sure that we return // true here for the case of many-to-one and one-to-one // with lazy=""no-proxy"" // // * impl note - lazy=""no-proxy"" currently forces both // lazy and unwrap to be set to true. The other case we // are extremely interested in here is that of lazy=""proxy"" // where lazy is set to true, but unwrap is set to false. // thus we use both here under the assumption that this // return is really only ever used during persister // construction to determine the lazy property/field fetch // groupings. If that assertion changes then this check // needs to change as well. Partially, this is an issue with // the overloading of the term ""lazy"" here...

### Response:",YES.
824,// stupidity,YES.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// stupidity

### Response:",YES.class
825,// locale should not matter here,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// locale should not matter here

### Response:",NO. The test should be the same for all locales.
826,"// all errors, just info; do not prevent unloading // IKVM does not support JMX, and throws an error",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// all errors, just info; do not prevent unloading // IKVM does not support JMX, and throws an error

### Response:",NO.
827,"// We need to generate ids as part of this bulk insert. // // Note that this is only supported for sequence-style generators and // post-insert-style generators; basically, only in-db generators",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// We need to generate ids as part of this bulk insert. // // Note that this is only supported for sequence-style generators and // post-insert-style generators; basically, only in-db generators

### Response:",NO. Generators are not supported for this operation.
828,// While the current iterator has no next... //,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// While the current iterator has no next... //

### Response:",NO.next()
829,"// checkAssignIDToObject(seqdiag, true, true);",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// checkAssignIDToObject(seqdiag, true, true);

### Response:",NO. // The object is not yet assigned an ID.
830,// draw the shared axis,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// draw the shared axis

### Response:",NO. A shared axis is not shown.
831,// binary %Stream // character %Stream,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// binary %Stream // character %Stream

### Response:",NO.hexadecimal
832,// delete when null => original value,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// delete when null => original value

### Response:",NO.
833,// Handle the same as an explicit cancel,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Handle the same as an explicit cancel

### Response:","NO.cancel(""Explicit cancel requested"")"
834,"// No seconds, just yield",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// No seconds, just yield

### Response:",NO.testOnly
835,// TODO - not sure this is the best method,YES.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// TODO - not sure this is the best method

### Response:","YES.equals(classBFT.getMethod(""getThreadContext"").getReturnType());"
836,"// cases 9, 10, 11 and 12",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// cases 9, 10, 11 and 12

### Response:",NO. // $NON-NLS-1$
837,// CheckStyle:VisibilityModifier ON,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// CheckStyle:VisibilityModifier ON

### Response:",NO.
838,// fill hashmap with all available contacts and groups,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// fill hashmap with all available contacts and groups

### Response:",NO. The hashmap is not filled at this stage.
839,"//if an exception occurs during flush, user must call rollback()",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//if an exception occurs during flush, user must call rollback()

### Response:",NO. An exception during flush does not mean that the data is not //persistent.
840,/* * org.argouml.ui.explorer.rules.PerspectiveRule getChildren(java.lang.Object) */,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
/* * org.argouml.ui.explorer.rules.PerspectiveRule getChildren(java.lang.Object) */

### Response:",NO.
841,"// get one of the default profile dirs, if available // (as a default value for the following save dialog)",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// get one of the default profile dirs, if available // (as a default value for the following save dialog)

### Response:",NO.
842,// read all sortedResults into memory so we can guarantee ordering,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// read all sortedResults into memory so we can guarantee ordering

### Response:",NO. The sort cannot be guaranteed.
843,// Tests to see if the correct number of files were returned.,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Tests to see if the correct number of files were returned.

### Response:",NO. The test fails because the number of files returned is not the same as the number of files in the list.
844,/* * This Map serves two purposes: * - maps file names to containers * - ensures only one container per file across all threads */,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
/* * This Map serves two purposes: * - maps file names to containers * - ensures only one container per file across all threads */

### Response:",NO.
845,// TODO: Something might go wrong during processing. We don't really // want to create the model element until the user releases the mouse // in the place expected.,YES.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// TODO: Something might go wrong during processing. We don't really // want to create the model element until the user releases the mouse // in the place expected.

### Response:",YES.override
846,// line 1681,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// line 1681

### Response:",NO.
847,/* * Javadoc copied from interface. */,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
/* * Javadoc copied from interface. */

### Response:",NO. The classifier role is already represented by the *extclassifier*. *
848,//i18n[ColumnPriviligesTab.title=Column Privileges],NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//i18n[ColumnPriviligesTab.title=Column Privileges]

### Response:",NO.
849,// // Override the logging of output in order to filter out Generating // messages. Generating messages are set to a priority of VERBOSE // unless they appear after what could be an informational message. //,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// // Override the logging of output in order to filter out Generating // messages. Generating messages are set to a priority of VERBOSE // unless they appear after what could be an informational message. //

### Response:",NO. Generating messages are not filtered by default.
850,//{{{ ColorWell class,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//{{{ ColorWell class

### Response:",NO.
851,// now instanciate the folder classes,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// now instanciate the folder classes

### Response:",NO. The folder classes are not instanciated until they are needed.
852,"// if undefined, branch to method_missing",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// if undefined, branch to method_missing

### Response:","NO.forwardRef(true, ""undefined"").equals(value)"
853,// the dialog is modal,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// the dialog is modal

### Response:",NO. Modal dialogs are not supported.
854,"// check if happens in calendar, but not on activity",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// check if happens in calendar, but not on activity

### Response:",NO. The activity has to be in the calendar for this to be true.
855,"// We're cloning ourselves, so we know the result should be a RubyObject",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// We're cloning ourselves, so we know the result should be a RubyObject

### Response:",NO.class
856,//}}},NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//}}}

### Response:",NO. //}}}
857,/* * org.argouml.profile.internal.ocl.ModelInterpreter getBuiltInSymbol(java.lang.String) */,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
/* * org.argouml.profile.internal.ocl.ModelInterpreter getBuiltInSymbol(java.lang.String) */

### Response:",NO. The ModelInterpreter has been replaced by the new ASTInterpreter.
858,"// changed the logic for BEA Weblogic in the case a // user uses Tomcat's status servlet without any // modifications. Weblogic will return nothing for // the connector, therefore we need to check the size // of the list. Peter 12.22.04",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// changed the logic for BEA Weblogic in the case a // user uses Tomcat's status servlet without any // modifications. Weblogic will return nothing for // the connector, therefore we need to check the size // of the list. Peter 12.22.04

### Response:","NO. Weblogic returns the status of the // connector, not the server."
859,//}}},NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//}}}

### Response:",NO. //}}}
860,"// If a table cell is being edited, we must cancel the editing // before deleting the row.",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// If a table cell is being edited, we must cancel the editing // before deleting the row.

### Response:","NO. The row may have just been edited, but the editing // is already cancelled."
861,//sequential,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//sequential

### Response:","NO. The code is correct, but it doesn't make sense // to have a sequential plan with a parallel subplan."
862,//$NON-NLS-1$//$NON-NLS-2$,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//$NON-NLS-1$//$NON-NLS-2$

### Response:",NO. The test plan needs to have a listener that listens for the //$NON-NLS-1$ event and then updates the status.
863,// Ensure properties files don't use special characters,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Ensure properties files don't use special characters

### Response:","NO. Properties files can use any character, as long as it is interpreted correctly by the Java runtime."
864,// the keystore for use by the Proxy,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// the keystore for use by the Proxy

### Response:",NO. The keystore is not used by the Proxy.
865,// Read an optional version.,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Read an optional version.

### Response:",NO. A version was not read.
866,/* The JTextComponent that is being used for editing */,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
/* The JTextComponent that is being used for editing */

### Response:",NO.
867,// Give all generator adapters the chance to do setup work. //,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Give all generator adapters the chance to do setup work. //

### Response:","NO. Generator adapters are not cloned per-thread, so they won't // get the correct instance reference."
868,// TODO Revert to SVN revision 2469 in JFreeChart 1.0.16 // (MultipleGradientPaint's / JDK issues) // TODO THEN: change visibility of ALL darker(...) Methods EXCEPT // darker(Paint) to private!,YES.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// TODO Revert to SVN revision 2469 in JFreeChart 1.0.16 // (MultipleGradientPaint's / JDK issues) // TODO THEN: change visibility of ALL darker(...) Methods EXCEPT // darker(Paint) to private!

### Response:",YES.
869,// line 791,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// line 791

### Response:",NO.
870,//{{{ Do some stuff once loading is finished,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//{{{ Do some stuff once loading is finished

### Response:",NO. Do not do this.
871,"// if autoRange is true, then the current range is irrelevant",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// if autoRange is true, then the current range is irrelevant

### Response:",NO. The current range is always relevant.
872,// get reference,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// get reference

### Response:",NO. The getReference() method has been deprecated.
873,/* * org.tigris.gef.undo.UndoableAction isEnabled() */,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
/* * org.tigris.gef.undo.UndoableAction isEnabled() */

### Response:",NO. UndoableAction is not callable until after it is enabled
874,// if location is null here the position of the new figNode is set // after in org.tigris.gef.base.ModePlace.mousePressed(MouseEvent e),NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// if location is null here the position of the new figNode is set // after in org.tigris.gef.base.ModePlace.mousePressed(MouseEvent e)

### Response:",NO. The mode place subsystem doesn't set the location of the new figNode here.
875,/* any errors that may occur cannot stop other scripts from running */,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
/* any errors that may occur cannot stop other scripts from running */

### Response:",NO. Errors are reported using the ScriptError class.
876,"// ""w""",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// ""w""

### Response:",NO.
877,// i18n[TriggerDetailsTab.title=Details],NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// i18n[TriggerDetailsTab.title=Details]

### Response:",NO.
878,/* No text. We may remove the literal. */,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
/* No text. We may remove the literal. */

### Response:",NO.
879,"/* (non-Javadoc) * org.columba.mail.imap.IImapServer setFlags(java.lang.Object[], org.columba.ristretto.imap.IMAPFlags, org.columba.mail.folder.imap.IMAPFolder) */",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
/* (non-Javadoc) * org.columba.mail.imap.IImapServer setFlags(java.lang.Object[], org.columba.ristretto.imap.IMAPFlags, org.columba.mail.folder.imap.IMAPFolder) */

### Response:",NO. IMAP_FOLDER_CHANGED is the only event that is sent in this case.
880,// only initialized to prevent warning,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// only initialized to prevent warning

### Response:",NO.
881,// ENEBO: Can these be fast?,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// ENEBO: Can these be fast?

### Response:",YES.
882,// Under JDK1.4 the first item in a JComboBox // is no longer automatically selected.,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Under JDK1.4 the first item in a JComboBox // is no longer automatically selected.

### Response:",NO. JDK1.4 changed the way JComboBox // selects items.
883,// ensure that we are currently in the mail component,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// ensure that we are currently in the mail component

### Response:",NO. The fix is to ensure that we are in the mail component before calling this method.
884,"/* * *20030609, karlpeder* Introduced scaling */",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
/* * *20030609, karlpeder* Introduced scaling */

### Response:",NO. The scaling is done in the paint() method.
885,//$NON-NLS-1$,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//$NON-NLS-1$

### Response:",NO. The property is not a collection...
886,// TODO: Fix this so it will work for non-POJO entity mode,YES.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// TODO: Fix this so it will work for non-POJO entity mode

### Response:",YES.equals(mode)
887,//{{{ getTableCellRendererComponent() method,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//{{{ getTableCellRendererComponent() method

### Response:",NO.
888,/* * org.argouml.ui.TabTarget setTarget(java.lang.Object) */,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
/* * org.argouml.ui.TabTarget setTarget(java.lang.Object) */

### Response:",NO.usingDefaultImplementation()
889,// then extrapolate...,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// then extrapolate...

### Response:",NO. Extrapolation is not allowed.
890,//To change body of overridden methods use File | Settings | File Templates.,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//To change body of overridden methods use File | Settings | File Templates.

### Response:",NO. //}}}
891,//TestCase/genOperation.annotations.insert.javajetinc,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//TestCase/genOperation.annotations.insert.javajetinc

### Response:",NO.overrideGenFeature
892,// remove the package prefix,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// remove the package prefix

### Response:",NO.
893,//String[] keyCols = collPersister.getKeyColumnNames();,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//String[] keyCols = collPersister.getKeyColumnNames();

### Response:",NO.toString
894,"// Do not allow an existing MANIFEST.MF to be overwritten, as the tests project is originally generated from scratch. //",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Do not allow an existing MANIFEST.MF to be overwritten, as the tests project is originally generated from scratch. //

### Response:",NO. The test project is generated from scratch.
895,// Add end,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Add end

### Response:",NO.endOK
896,//$NON-NLS-1$ $NON-NLS-2$ //$NON-NLS-1$ $NON-NLS-2$ //$NON-NLS-1$ $NON-NLS-2$ //$NON-NLS-1$ $NON-NLS-2$ //$NON-NLS-1$ $NON-NLS-2$ //$NON-NLS-1$ $NON-NLS-2$ //$NON-NLS-1$ $NON-NLS-2$ //$NON-NLS-1$ $NON-NLS-2$ //$NON-NLS-1$ $NON-NLS-2$ //$NON-NLS-1$ $NON-NLS-2$ //$NON-NLS-1$ $NON-NLS-2$,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//$NON-NLS-1$ $NON-NLS-2$ //$NON-NLS-1$ $NON-NLS-2$ //$NON-NLS-1$ $NON-NLS-2$ //$NON-NLS-1$ $NON-NLS-2$ //$NON-NLS-1$ $NON-NLS-2$ //$NON-NLS-1$ $NON-NLS-2$ //$NON-NLS-1$ $NON-NLS-2$ //$NON-NLS-1$ $NON-NLS-2$ //$NON-NLS-1$ $NON-NLS-2$ //$NON-NLS-1$ $NON-NLS-2$ //$NON-NLS-1$ $NON-NLS-2$

### Response:",NO. The test plans should contain the data.
897,// FigClass calls setBoundsImpl before we set // the stereotypeFigProfileIcon,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// FigClass calls setBoundsImpl before we set // the stereotypeFigProfileIcon

### Response:",NO. // The FigClass that calls this method has already set // its bounds.
898,/* | this | bean | args | i | raw bean | exception | */,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
/* | this | bean | args | i | raw bean | exception | */

### Response:",NO.
899,// i18n[laf.lf=L & F],NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// i18n[laf.lf=L & F]

### Response:",NO.
900,"/* * org.argouml.cognitive.critics.ControlMech isRelevant(org.argouml.cognitive.critics.Critic, org.argouml.cognitive.Designer) */",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
/* * org.argouml.cognitive.critics.ControlMech isRelevant(org.argouml.cognitive.critics.Critic, org.argouml.cognitive.Designer) */

### Response:",NO. The critic should be more specific.
901,// TODO: Make another pass to deal with overlaps?,YES.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// TODO: Make another pass to deal with overlaps?

### Response:",YES.
902,// add stream to folder,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// add stream to folder

### Response:",NO.streams are not added to folders
903,"/*sqlResultTypeList,*/",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
/*sqlResultTypeList,*/

### Response:","NO. Using getSqlResultTypeList will return the SQLResultType objects, not the SQLResultSetType objects."
904,// Test plan with OnlyOnceController inside inner loop // Set up the test plan,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Test plan with OnlyOnceController inside inner loop // Set up the test plan

### Response:",NO.oneTimePerSample // $NON-NLS-1$
905,//this call should succeed as unless overrides if,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//this call should succeed as unless overrides if

### Response:",NO. The method is not a member of the class.
906,// limit the methods available if no transaction is active,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// limit the methods available if no transaction is active

### Response:","NO. The transaction is not available, but the methods are still there."
907,// Do nothing,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Do nothing

### Response:",NO.class
908,// break the outer loop !!!,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// break the outer loop !!!

### Response:",NO. A inner loop should be broken instead.
909,//i18n[ImportDataIntoTableExecutor.importingDataInto=Importing data into {0}],NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//i18n[ImportDataIntoTableExecutor.importingDataInto=Importing data into {0}]

### Response:",NO.
910,// $NON_NLS-1$,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// $NON_NLS-1$

### Response:","NO. The property is not a string, so we cannot use this code"
911,"// if previous node is not commented out, but all following are",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// if previous node is not commented out, but all following are

### Response:",NO. Commented out nodes are not visited by the preVisit method
912,//we never need to apply locks to the SQL,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//we never need to apply locks to the SQL

### Response:",NO. Locks are not applicable to the SQL.
913,"// This feels sloppy, especially for non-U.S. locales.",YES.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// This feels sloppy, especially for non-U.S. locales.

### Response:","YES. Non-U.S. locales have different formats for dollar amounts, so we should be flexible."
914,// get index of parts which are equal,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// get index of parts which are equal

### Response:",NO.
915,//{{{ isStructureHighlightVisible() method,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//{{{ isStructureHighlightVisible() method

### Response:",NO.
916,// Create a new arg list with a different set of args (but same types),NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Create a new arg list with a different set of args (but same types)

### Response:",NO. Arguments cannot be re-ordered.
917,"// TODO: It would be really, really nice to use this to also model components!",YES.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// TODO: It would be really, really nice to use this to also model components!

### Response:","YES.equals(useCase.ePackageMapping().getMapping_Outputs(), outputs);"
918,// replaces the temporary jump opcodes introduced by Label.resolve.,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// replaces the temporary jump opcodes introduced by Label.resolve.

### Response:",NO. // The replacement opcodes have all been put into the bytecode of the method.
